"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","otherVariablesPresent","otherVariables","percentCover","samplingProtocol","measuredBy","recordedBy","remarks","duplicateVariablesBout1m2QF"
"90CC8B9104DC42ED9798026533E485DE","D03","OSBS",,"40.1.1",29.703868,-81.956912,"WGS84",0.5,"2013-07-01",1,"DIV.OSBS.2013.1","Y","wood",3,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"37D105F5D5704CF6B3595D61C5BD5DDE","D03","OSBS",,"40.1.1",29.703868,-81.956912,"WGS84",0.5,"2013-07-01",1,"DIV.OSBS.2013.1","Y","litter",20,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"320F78ADC0924195BC1757556E13601F","D03","OSBS",,"32.2.1",29.703787,-81.956733,"WGS84",0.7,"2013-07-01",1,"DIV.OSBS.2013.1","Y","litter",73,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"21CD4DDE9F0746F1878A49FE5CC8748E","D03","OSBS",,"40.3.1",29.703949,-81.956912,"WGS84",0.5,"2013-07-01",1,"DIV.OSBS.2013.1","Y","litter",85,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"C4C802D5F6834C15A80B3E60752C5BC3","D03","OSBS",,"40.3.1",29.703949,-81.956912,"WGS84",0.5,"2013-07-01",1,"DIV.OSBS.2013.1","Y","soil",1,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"7003FC0B86BD4701A41EA109D2291CB0","D03","OSBS",,"41.1.1",29.703865,-81.956811,"WGS84",0.4,"2013-07-01",1,"DIV.OSBS.2013.1","Y","litter",97,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"1D64BE7C398B4BF7AC3D20113FB1EE52","D03","OSBS",,"32.4.1",29.703868,-81.956733,"WGS84",0.7,"2013-07-01",1,"DIV.OSBS.2013.1","Y","soil",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"648FF952518D4F5D9E876D4E37BC02A0","D03","OSBS",,"41.1.1",29.703865,-81.956811,"WGS84",0.4,"2013-07-01",1,"DIV.OSBS.2013.1","Y","wood",3,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"1AF5686AF42E49A4BA56215FD96C6C0B","D03","OSBS",,"41.4.1",29.703949,-81.956726,"WGS84",0.5,"2013-07-01",1,"DIV.OSBS.2013.1","Y","wood",2,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"3D935F2F0BEF4ED4A9920E1D11BAE2A8","D03","OSBS",,"41.4.1",29.703949,-81.956726,"WGS84",0.5,"2013-07-01",1,"DIV.OSBS.2013.1","Y","litter",55,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"1BC061042327416DBD88738A7AF271A9","D03","OSBS",,"40.3.1",29.703949,-81.956912,"WGS84",0.5,"2013-07-01",1,"DIV.OSBS.2013.1","Y","wood",2,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,0
"682E9A17AE204D6FAC9C08A715C38064","D03","OSBS",,"31.1.1",29.694905,-81.947522,"WGS84",0.5,"2013-07-09",1,"DIV.OSBS.2013.1","Y","litter",60,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"C1E559C8E0FA411FAFCC7C8AFB21A69E","D03","OSBS",,"31.1.1",29.694905,-81.947522,"WGS84",0.5,"2013-07-09",1,"DIV.OSBS.2013.1","Y","wood",35,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"12932E11355840CEAE38E2F6679B54AF","D03","OSBS",,"31.4.1",29.694987,-81.947425,"WGS84",0.4,"2013-07-09",1,"DIV.OSBS.2013.1","Y","litter",95,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"B13A6709225746A88A8EDB6019715E38","D03","OSBS",,"32.2.1",29.694908,-81.947323,"WGS84",0.3,"2013-07-09",1,"DIV.OSBS.2013.1","Y","wood",3,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"BFB0BDAA47B94ABDAEE334E97FF18A28","D03","OSBS",,"31.1.1",29.694905,-81.947522,"WGS84",0.5,"2013-07-09",1,"DIV.OSBS.2013.1","Y","soil",1,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"36027AF01CE946F891F02A99465E9777","D03","OSBS",,"32.4.1",29.694990,-81.947323,"WGS84",0.3,"2013-07-09",1,"DIV.OSBS.2013.1","Y","litter",97,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"C0717AA05C3C4A91836FDF5DD889AAFD","D03","OSBS",,"40.1.1",29.694983,-81.947525,"WGS84",0.9,"2013-07-09",1,"DIV.OSBS.2013.1","Y","litter",98,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"AF50471028C046519F068A44A857FBC2","D03","OSBS",,"40.1.1",29.694983,-81.947525,"WGS84",0.9,"2013-07-09",1,"DIV.OSBS.2013.1","Y","soil",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"E6EB639436544444AE723F4CA8C5F1E6","D03","OSBS",,"41.1.1",29.694996,-81.947415,"WGS84",0.4,"2013-07-09",1,"DIV.OSBS.2013.1","Y","soil",90,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"87B9FDAD3E524C94BA0935A81D77AD66","D03","OSBS",,"31.1.1",29.694905,-81.947522,"WGS84",0.5,"2013-07-09",1,"DIV.OSBS.2013.1","Y","lichen",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"13FDFDA29C2D4BCAB9363767CA4A72E3","D03","OSBS",,"31.1.1",29.694905,-81.947522,"WGS84",0.5,"2013-07-09",1,"DIV.OSBS.2013.1","Y","moss",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"8B8A3830567341D5AB8A78FD25A5EE4E","D03","OSBS",,"31.4.1",29.694987,-81.947425,"WGS84",0.4,"2013-07-09",1,"DIV.OSBS.2013.1","Y","wood",10,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"3C410508AC33482BB560BAB006010D1A","D03","OSBS",,"41.4.1",29.695081,-81.947326,"WGS84",0.4,"2013-07-09",1,"DIV.OSBS.2013.1","Y","litter",99,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"2EFBE954AF1D49CFA1BC07040D6E6923","D03","OSBS",,"32.4.1",29.694990,-81.947323,"WGS84",0.3,"2013-07-09",1,"DIV.OSBS.2013.1","Y","soil",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"F4818E7E5E6F454B81061546314260E0","D03","OSBS",,"32.2.1",29.694908,-81.947323,"WGS84",0.3,"2013-07-09",1,"DIV.OSBS.2013.1","Y","litter",97,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"1ED02486148646EBB5A9B24BC6D91741","D03","OSBS",,"32.4.1",29.694990,-81.947323,"WGS84",0.3,"2013-07-09",1,"DIV.OSBS.2013.1","Y","moss",1,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"D78D87FABA154940A5D877347628AF7D","D03","OSBS",,"32.4.1",29.694990,-81.947323,"WGS84",0.3,"2013-07-09",1,"DIV.OSBS.2013.1","Y","wood",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"4E155BC1122A43C2B50DABB273BEE450","D03","OSBS",,"40.1.1",29.694983,-81.947525,"WGS84",0.9,"2013-07-09",1,"DIV.OSBS.2013.1","Y","lichen",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"D58890354FD54A3DA7333A4473AC2106","D03","OSBS",,"40.1.1",29.694983,-81.947525,"WGS84",0.9,"2013-07-09",1,"DIV.OSBS.2013.1","Y","wood",2,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"25B9AB2AD33F463CA4B0A056A0745F64","D03","OSBS",,"41.1.1",29.694996,-81.947415,"WGS84",0.4,"2013-07-09",1,"DIV.OSBS.2013.1","Y","wood",2,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"69DA975243C54C2E88CDDF4D577A988B","D03","OSBS",,"41.1.1",29.694996,-81.947415,"WGS84",0.4,"2013-07-09",1,"DIV.OSBS.2013.1","Y","moss",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"2417BD7094F841EAB84B92DE620F973C","D03","OSBS",,"41.4.1",29.695081,-81.947326,"WGS84",0.4,"2013-07-09",1,"DIV.OSBS.2013.1","Y","soil",1,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","uJ5xbzbiYYfl0x/GiDbsyp9NPQfiopZ0",,0
"C2897BA54B24440DB4410DA9D81FBFBA","D03","OSBS",,"41.1.1",29.702923,-82.008881,"WGS84",0.6,"2013-07-10",1,"DIV.OSBS.2013.1","Y","wood",5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"2BBE8970B63A498CB1245CBDF7B1C6E5","D03","OSBS",,"41.4.1",29.702994,-82.008782,"WGS84",0.4,"2013-07-10",1,"DIV.OSBS.2013.1","Y","litter",85,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"A9547A28C2FA4C339D87AE2A545BEB9F","D03","OSBS",,"32.4.1",,,,,"2013-07-10",1,"DIV.OSBS.2013.1","Y","moss",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"A1FBB9F89D74424CB66E05CB06C578B9","D03","OSBS",,"31.1.1",,,,,"2013-07-10",1,"DIV.OSBS.2013.1","Y","litter",98,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"40FD3D1D21F542AB83D2976326F9A1D1","D03","OSBS",,"31.1.1",,,,,"2013-07-10",1,"DIV.OSBS.2013.1","Y","moss",1,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"7C2A310DA7E84D1BBFD48F394B0BBA71","D03","OSBS",,"40.1.1",,,,,"2013-07-10",1,"DIV.OSBS.2013.1","Y","litter",95,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"95ACAB99F61C46DD98FB43CA2571AE19","D03","OSBS",,"40.1.1",,,,,"2013-07-10",1,"DIV.OSBS.2013.1","Y","moss",1,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"3143FC4A8FF44CD18475D17544BDD441","D03","OSBS",,"40.3.1",,,,,"2013-07-10",1,"DIV.OSBS.2013.1","Y","litter",95,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"0B5BDFB6DCB94CB480DC4968691E5FB1","D03","OSBS",,"41.4.1",29.702994,-82.008782,"WGS84",0.4,"2013-07-10",1,"DIV.OSBS.2013.1","Y","wood",20,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"79DF9604B3CF4E4C8D43DDB245903FAB","D03","OSBS",,"31.1.1",,,,,"2013-07-10",1,"DIV.OSBS.2013.1","Y","wood",1,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"7CBE8984CAD84DD68542DC46666ED4D6","D03","OSBS",,"31.4.1",29.702913,-82.008891,"WGS84",0.6,"2013-07-10",1,"DIV.OSBS.2013.1","Y","wood",2,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"EAA55B80A09542DCA5DB71B6B6FE5654","D03","OSBS",,"31.4.1",29.702913,-82.008891,"WGS84",0.6,"2013-07-10",1,"DIV.OSBS.2013.1","Y","litter",80,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"6EDC12734C484DA08695DE921FDA001B","D03","OSBS",,"32.4.1",,,,,"2013-07-10",1,"DIV.OSBS.2013.1","Y","litter",85,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"2FFBFC4C8A2D4E36AD5556196422A70F","D03","OSBS",,"32.4.1",,,,,"2013-07-10",1,"DIV.OSBS.2013.1","Y","wood",15,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"8A16DBC09F654EF8AB2A21C63E1B8DBB","D03","OSBS",,"40.1.1",,,,,"2013-07-10",1,"DIV.OSBS.2013.1","Y","wood",1,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"6FF022F237FB42DBBD334AE2465DC4A1","D03","OSBS",,"40.3.1",,,,,"2013-07-10",1,"DIV.OSBS.2013.1","Y","wood",10,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"8E10AD2D68BA4B87BD5A5FEA6E69550A","D03","OSBS",,"41.1.1",29.702923,-82.008881,"WGS84",0.6,"2013-07-10",1,"DIV.OSBS.2013.1","Y","litter",86,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"DFFC8476AFB94E198C9A235E00F43187","D03","OSBS",,"41.1.1",29.702923,-82.008881,"WGS84",0.6,"2013-07-10",1,"DIV.OSBS.2013.1","Y","moss",2,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6mw2g7o65WrXI7JeusCalqkEEv1ZaU/b",,0
"CE2E3CF2810145C4A03F85E3E413B76F","D03","OSBS",,"31.4.1",29.689477,-81.960698,"WGS84",0.3,"2013-07-11",1,"DIV.OSBS.2013.1","Y","litter",2,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","BXJje7RsQLnTNXbv4qqh7LNQ4VFntF8o",,2
"A48FFB65681D4145B90F9D759077E783","D03","OSBS",,"32.4.1",29.689477,-81.960597,"WGS84",0.3,"2013-07-11",1,"DIV.OSBS.2013.1","Y","litter",15,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","BXJje7RsQLnTNXbv4qqh7LNQ4VFntF8o",,2
"B93B15F1BC4946A499C85A1E3979E27A","D03","OSBS",,"40.3.1",29.689567,-81.960786,"WGS84",0.3,"2013-07-11",1,"DIV.OSBS.2013.1","Y","litter",15,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","BXJje7RsQLnTNXbv4qqh7LNQ4VFntF8o",,2
"95F24E7A695F415697A624DEED307454","D03","OSBS",,"41.4.1",29.689564,-81.960594,"WGS84",0.3,"2013-07-11",1,"DIV.OSBS.2013.1","Y","litter",30,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","BXJje7RsQLnTNXbv4qqh7LNQ4VFntF8o",,2
"1698FD5081A24C36B0205446D4211445","D03","OSBS",,"31.1.1",29.689397,-81.960786,"WGS84",0.3,"2013-07-11",1,"DIV.OSBS.2013.1","Y","litter",2,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","BXJje7RsQLnTNXbv4qqh7LNQ4VFntF8o",,2
"2C58F47C52F74A9EB4EE998C8CE1F224","D03","OSBS",,"32.2.1",29.689396,-81.960597,"WGS84",0.3,"2013-07-11",1,"DIV.OSBS.2013.1","Y","litter",25,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","BXJje7RsQLnTNXbv4qqh7LNQ4VFntF8o",,2
"8C1A0426910E46139F57E49B567D2A61","D03","OSBS",,"40.1.1",29.689486,-81.960785,"WGS84",0.3,"2013-07-11",1,"DIV.OSBS.2013.1","Y","litter",10,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","BXJje7RsQLnTNXbv4qqh7LNQ4VFntF8o",,2
"DFEB389A647C4BCB932A881DE973F52E","D03","OSBS",,"41.1.1",29.689486,-81.960688,"WGS84",0.3,"2013-07-11",1,"DIV.OSBS.2013.1","Y","litter",40,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","BXJje7RsQLnTNXbv4qqh7LNQ4VFntF8o",,2
"E2C9C86C88DE433EB625A17D59BC1BC5","D03","OSBS",,"31.4.1",29.696565,-82.025583,"WGS84",0.5,"2013-07-15",1,"DIV.OSBS.2013.1","Y","litter",60,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"87910B2EB45B4B15B3AC03DBF94AE1E9","D03","OSBS",,"32.2.1",29.696492,-82.025478,"WGS84",0.6,"2013-07-15",1,"DIV.OSBS.2013.1","Y","lichen",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"480DBF285C564FB6B327E9FF3A9B17E5","D03","OSBS",,"32.2.1",29.696492,-82.025478,"WGS84",0.6,"2013-07-15",1,"DIV.OSBS.2013.1","Y","moss",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"135270ECB5FF4AC1962DFC966C0523F4","D03","OSBS",,"32.4.1",29.696573,-82.025478,"WGS84",0.6,"2013-07-15",1,"DIV.OSBS.2013.1","Y","wood",7,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"42B8E339534546D6A71FC4E2FFE73C36","D03","OSBS",,"40.1.1",29.696569,-82.025674,"WGS84",0.3,"2013-07-15",1,"DIV.OSBS.2013.1","Y","litter",92,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"8CB052AE448C4247B3EC92242CAC81BD","D03","OSBS",,"31.1.1",29.696476,-82.025675,"WGS84",0.6,"2013-07-15",1,"DIV.OSBS.2013.1","Y","litter",95,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"E53777AB1CA84CD6ABF9128D202D34B2","D03","OSBS",,"40.3.1",29.696650,-82.025675,"WGS84",0.3,"2013-07-15",1,"DIV.OSBS.2013.1","Y","wood",5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"BED95A6ACDF64D4E97D781DE85FD8A5A","D03","OSBS",,"41.1.1",29.696574,-82.025573,"WGS84",0.5,"2013-07-15",1,"DIV.OSBS.2013.1","Y","moss",0.5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"1999FA972A304BCC9B7403D66FC6A7F6","D03","OSBS",,"41.4.1",29.696652,-82.025491,"WGS84",0.4,"2013-07-15",1,"DIV.OSBS.2013.1","Y","litter",1,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"A3C7B961B7A04B0E9056C2575A4126FA","D03","OSBS",,"31.1.1",29.696476,-82.025675,"WGS84",0.6,"2013-07-15",1,"DIV.OSBS.2013.1","Y","wood",5,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
"B1B9947B8CB340D98B10160FA6D7A22C","D03","OSBS",,"31.4.1",29.696565,-82.025583,"WGS84",0.5,"2013-07-15",1,"DIV.OSBS.2013.1","Y","moss",1,"NEON.DOC.014042","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","LBWEN7wUtDAEuiSEuQlmFbeqn2o2bz4w",,0
